Symbol,Description,ISIN,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Exchange
RELIANCE,Reliance Industries Limited,INE002A01018,1290.9,INR,-2.130401819560266,10759546,1.0737359715740158,17714093632812,INR,23.377357157991383,55.2201,INR,-8.318252305321916,0.458365164247517,Energy minerals,NSE
RELIANCE,Reliance Industries Limited,INE002A01018,1293,INR,-1.2223071046600458,487511,0.5251555691141346,17714093632812,INR,23.415386788506357,55.2201,INR,-8.318252305321916,0.458365164247517,Energy minerals,BSE
BHARTIARTL,Bharti Airtel Limited,INE397D01024,1970.1,INR,-0.020299416391783353,4977391,0.8912243127950534,12167785886230,INR,44.95112668729294,43.8276,INR,-20.523849590901186,1.23013839056894,Communications,NSE
BHARTIARTL,Bharti Airtel Limited,INE397D01024,1956.5,INR,0.28190671450538185,105790,0.2380844676609996,12167785886230,INR,44.64081993994652,43.8276,INR,-20.523849590901186,1.23013839056894,Communications,BSE
HDFCBANK,HDFC Bank Limited,INE040A01034,739.95,INR,-1.4779308967445457,1156413,0.607187626113143,11570007208043,INR,14.457796014067997,51.18,INR,11.34558903513542,1.73091005925038,Finance,BSE
HDFCBANK,HDFC Bank Limited,INE040A01034,742,INR,-1.4608233731739706,31559802,1.1182632930449878,11570007208043,INR,14.497850722938647,51.18,INR,11.34558903513542,1.73091005925038,Finance,NSE
ICICIBANK,ICICI Bank Limited,INE090A01021,1445,INR,0.05539398975210874,487519,0.7301179045788797,10363004131367,INR,18.678903826266804,77.36,INR,7.369882026370579,0.761667359091538,Finance,BSE
ICICIBANK,ICICI Bank Limited,INE090A01021,1454.6,INR,-0.3698630136986364,11458963,0.9435413934320915,10363004131367,INR,18.802998965873837,77.36,INR,7.369882026370579,0.761667359091538,Finance,NSE
SBIN,State Bank of India,INE062A01020,1042.7,INR,-0.22009569377989996,8544184,0.9139626557381433,9565690054132,INR,11.45454106036072,91.0294,INR,4.7432203545851115,1.6742256103445,Finance,NSE
SBIN,State Bank of India,INE062A01020,1035,INR,-0.12544629933416526,439550,0.6340686202029222,9565690054132,INR,11.36995300419425,91.0294,INR,4.7432203545851115,1.6742256103445,Finance,BSE
TCS,Tata Consultancy Services Limited,INE467B01029,2460,INR,-0.5538262521728512,2792792,0.6745158985673766,8864314135742,INR,17.87284127318565,137.639,INR,1.067516881423239,2.6530612244898,Technology services,NSE
TCS,Tata Consultancy Services Limited,INE467B01029,2450,INR,0,97957,0.4474209475785272,8864314135742,INR,17.800187446871888,137.639,INR,1.067516881423239,2.6530612244898,Technology services,BSE
BAJFINANCE,Bajaj Finance Limited,INE296A01032,1153,INR,1.0605662196511445,335770,0.23642413096335108,7103194528954,INR,35.40067546822229,32.57,INR,16.05202209157313,0.525900604785695,Finance,BSE
