Group,Model,Sample_Count,MSE,RMSE,MAE,R2,Directional_Accuracy (%)
Mega/Large,Zero Baseline,12470,0.001265615108422935,0.03557548465478629,0.025927970185875893,-0.0034908056259155273,0.056134723336006415
Mega/Large,Ridge Regression,12470,0.0013073511654511094,0.0361573113692253,0.026331903412938118,-0.03658270835876465,49.33440256615878
Mega/Large,Simple RNN,12470,0.0013178347144275904,0.03630199325694927,0.02657613903284073,-0.044895052909851074,50.93825180433039
Mega/Large,LSTM,12470,0.001293072709813714,0.035959320207892054,0.02642827108502388,-0.025261521339416504,52.61427425821973
Mega/Large,GRU,12470,0.0012917881831526756,0.0359414549392853,0.026372933760285378,-0.02424299716949463,52.60625501202887
Mid,Zero Baseline,16302,0.0023625835310667753,0.04860641450535902,0.035812798887491226,-0.003896355628967285,0.11041589988958411
Mid,Ridge Regression,16302,0.0023883413523435593,0.04887065942202498,0.03606714308261871,-0.014841318130493164,51.39860139860139
Mid,Simple RNN,16302,0.0024020355194807053,0.04901056538625835,0.03626478090882301,-0.0206601619720459,51.49061464850938
Mid,LSTM,16302,0.0023733756970614195,0.0487173038771792,0.03611123561859131,-0.008482098579406738,52.18991534781009
Mid,GRU,16302,0.002366456901654601,0.048646242420711194,0.03599988669157028,-0.005542278289794922,52.20831799779169
Small,Zero Baseline,13545,0.003438512096181512,0.05863882754780753,0.04280046373605728,-0.0013055801391601562,0.0221483942414175
Small,Ridge Regression,13545,0.003464264329522848,0.05885800140612021,0.043403103947639465,-0.008804798126220703,49.21373200442968
Small,Simple RNN,13545,0.0035427033435553312,0.059520612761927535,0.04410874843597412,-0.0316464900970459,48.46806939830196
Small,LSTM,13545,0.0034628480207175016,0.05884596860208439,0.04371959716081619,-0.008392333984375,48.51974898486526
Small,GRU,13545,0.0034692769404500723,0.05890056825235281,0.04368078336119652,-0.010264396667480469,48.51236618678479
