Model,Dataset,MSE,RMSE,MAE,R2,Directional_Accuracy (%),IC,Rank_IC,Strategy_Sharpe,Strategy_Sortino
Zero Baseline,Test (Seen Stocks 2024-2026),0.0023837159387767315,0.04882331347600992,0.035136569291353226,-0.0025506019592285156,0.06616726138431364,0.0,0.0,0.0,0.0
Ridge Regression,Test (Seen Stocks 2024-2026),0.0022614202462136745,0.047554392501783414,0.034452639520168304,0.04888486862182617,55.28511000307205,0.2210996448993683,0.1763860800214764,0.9191054924166173,1.4185668260620883
Simple RNN,Test (Seen Stocks 2024-2026),0.0024476521648466587,0.04947375228185809,0.035920459777116776,-0.029441118240356445,50.3603752628967,-0.005400989204645157,-0.0011828503492806453,0.20709419047015631,0.32140296322233
LSTM,Test (Seen Stocks 2024-2026),0.002403754275292158,0.049028096794513226,0.03569317236542702,-0.010978341102600098,51.140203700640406,0.07786985486745834,0.04312534061942719,0.35548029709198725,0.5678912203055617
BiLSTM,Test (Seen Stocks 2024-2026),0.0024272073060274124,0.04926669570843383,0.03581821545958519,-0.020842313766479492,50.79991492780679,-0.0050781527534127235,-0.007360956136937602,0.26979454234744504,0.4228437104340705
GRU,Test (Seen Stocks 2024-2026),0.0024027680046856403,0.0490180375442106,0.03562154248356819,-0.01056361198425293,51.14256681711842,0.08626222610473633,0.05338487186862093,0.3516900573471829,0.5594867172440043
Zero Baseline,Test (Unseen Stocks 2024-2026),0.0025212347973138094,0.0502118989614395,0.034948933869600296,-0.006584763526916504,0.0636190129964555,0.0,0.0,0.0,0.0
Ridge Regression,Test (Unseen Stocks 2024-2026),0.0023783748038113117,0.04876858418912027,0.034308914095163345,0.05045109987258911,55.275833863491776,0.2268057018518448,0.16962392419162114,0.9468560311474027,1.4834707600593182
Simple RNN,Test (Unseen Stocks 2024-2026),0.0025434326380491257,0.05043245619686915,0.035629741847515106,-0.015447020530700684,50.104516949922754,0.03479791060090065,0.0019395303092168716,0.3686099096818813,0.6246807269261107
LSTM,Test (Unseen Stocks 2024-2026),0.0025078027974814177,0.050077967185993257,0.03539764881134033,-0.0012221336364746094,52.14941379623739,0.09014579653739929,0.04137665252214296,0.5737914629957231,0.9689721684350092
BiLSTM,Test (Unseen Stocks 2024-2026),0.0025170680601149797,0.05017039027269949,0.03536084666848183,-0.0049211978912353516,52.22212123966191,0.04671434685587883,0.004703213468426463,0.5892087274974475,0.9954505045434933
GRU,Test (Unseen Stocks 2024-2026),0.0025042849592864513,0.05004283124770671,0.035306330770254135,0.0001823902130126953,52.140325365809325,0.12067215144634247,0.049258341729534756,0.5724973440121961,0.9668599791218858
