Group,Model,Sample_Count,MSE,RMSE,MAE,R2,Directional_Accuracy (%)
Auto,Simple RNN,3010,0.0025354407262057,0.050353160041905,0.0376775562763214,0.0294568538665771,49.734219269102994
Auto,LSTM,3010,0.0025099199265241,0.0500991010550505,0.03750566765666,0.0190948247909545,49.16943521594684
Auto,GRU,3010,0.0025042004417628,0.0500419867887237,0.0374622419476509,0.0167725086212158,49.16943521594684
Consumer,Simple RNN,3010,0.0014911125181242,0.0386149261053842,0.0288895666599273,0.0323176383972168,50.26578073089701
Consumer,LSTM,3010,0.001474801916629,0.0384031498269227,0.0286769177764654,0.021025538444519,50.99667774086378
Consumer,GRU,3010,0.001483847387135,0.0385207397012963,0.0287584569305181,0.0272878408432006,50.99667774086378
Defence,Simple RNN,2930,0.0049239704385399,0.0701710085330115,0.0513200052082538,0.0122071504592895,48.66894197952219
Defence,LSTM,2930,0.0048548858612775,0.0696770109955757,0.0514576137065887,0.0019943118095397,48.12286689419796
Defence,GRU,2930,0.0048518306575715,0.069655083501289,0.0510315932333469,0.0026223063468933,48.12286689419796
Energy,Simple RNN,1290,0.0012963428162038,0.0360047610213404,0.0270948633551597,0.0341618061065673,52.48062015503876
Energy,LSTM,1290,0.0012951779644936,0.0359885810291769,0.0273974034935235,0.033232569694519,50.542635658914726
Energy,GRU,1290,0.0012924186885356,0.0359502251527815,0.0273147411644458,0.0310313701629638,50.542635658914726
Financials,Simple RNN,9325,0.0023171084467321,0.0481363526529811,0.0345802344381809,0.0305310487747192,51.46380697050938
Financials,LSTM,9325,0.0022527563851326,0.0474632108599141,0.034137200564146,0.0019105672836303,52.99731903485255
Financials,GRU,9325,0.0022509610280394,0.0474442939460527,0.0341151505708694,0.0011119842529296,53.02949061662199
Healthcare,Simple RNN,4262,0.001605277066119,0.0400659090264905,0.0305594559758901,0.0226037502288818,51.4547160957297
Healthcare,LSTM,4262,0.0015827557072043,0.03978386239676,0.030396681278944,0.0082570314407348,52.29938995776631
Healthcare,GRU,4262,0.00158772256691,0.0398462365463802,0.0304223243147134,0.0114210844039917,52.322853120600655
IT,Simple RNN,5160,0.0024446011520922,0.0494429080060246,0.0362770222127437,0.0432829856872558,49.53488372093023
IT,LSTM,5160,0.0023904319386929,0.0488920437156489,0.0357900373637676,0.0201650857925415,51.065891472868216
IT,GRU,5160,0.002396990545094,0.0489590701003809,0.0358646176755428,0.0229641199111938,51.02713178294573
Industrials,Simple RNN,5590,0.0026912381872534,0.0518771451339939,0.0387377813458442,0.0282535552978515,50.76923076923077
Industrials,LSTM,5590,0.0026579187251627,0.0515550067904441,0.0385847687721252,0.0155229568481445,51.2701252236136
Industrials,GRU,5590,0.0026531803887337,0.0515090321082986,0.0384321063756942,0.0137125253677368,51.25223613595706
Infrastructure,Simple RNN,430,0.0067541450262069,0.0821836055804743,0.0552674308419227,0.0273729562759399,45.81395348837209
Infrastructure,LSTM,430,0.0065021552145481,0.0806359424484399,0.0554646328091621,0.0109571814537048,44.18604651162791
Infrastructure,GRU,430,0.0065597859211266,0.0809925053392386,0.0547951646149158,0.0021909475326538,44.18604651162791
Materials,Simple RNN,430,0.0010486521059647,0.0323828983564584,0.0245228428393602,0.0349557399749755,48.837209302325576
Materials,LSTM,430,0.0010321030858904,0.032126361230155,0.0243874490261077,0.018622875213623,52.55813953488372
Materials,GRU,430,0.0010314082028344,0.0321155445669916,0.0244528483599424,0.0179370641708374,52.55813953488372
Metals,Simple RNN,3870,0.0022704557050019,0.0476492991029453,0.0361999832093715,0.0192326307296752,50.64599483204134
Metals,LSTM,3870,0.0022649008315056,0.0475909742651446,0.0359537526965141,0.016739010810852,52.48062015503876
Metals,GRU,3870,0.0022505712695419,0.0474401862300516,0.0358951538801193,0.0103062391281127,52.48062015503876
Services,Simple RNN,860,0.0018057982670143,0.0424946851619626,0.0313710644841194,0.0728175640106201,48.604651162790695
Services,LSTM,860,0.0018306697020307,0.042786326110461,0.0316388718783855,0.0875935554504394,45.34883720930232
Services,GRU,860,0.0018024357268586,0.042455102483196,0.0313897728919982,0.0708198547363281,45.34883720930232
Telecom,Simple RNN,430,0.0008749371627345,0.0295793367527834,0.0235069636255502,0.0313485860824584,53.25581395348837
Telecom,LSTM,430,0.0008472908521071,0.0291082608911475,0.0229651071131229,0.0012400150299072,59.30232558139535
Telecom,GRU,430,0.0008433094481006,0.0290397907723286,0.0229725111275911,0.0059331655502319,59.30232558139535
Utilities,Simple RNN,1720,0.0030115628615021,0.0548777082384292,0.0386217162013053,0.0879867076873779,46.395348837209305
Utilities,LSTM,1720,0.0028729033656418,0.0535994716918164,0.0385450460016727,0.0378931760787963,46.51162790697674
Utilities,GRU,1720,0.0028763660229742,0.0536317631909883,0.0382378250360488,0.0391441583633422,46.51162790697674
