Model,Dataset,MSE,RMSE,MAE,R2,Directional_Accuracy (%)
Zero Baseline,Seen Stocks (Test),0.0023837159387767315,0.04882331347600992,0.035136569291353226,-0.0025506019592285156,0.06616726138431364
Ridge Regression,Seen Stocks (Test),0.0024141804315149784,0.049134310125562755,0.035546477884054184,-0.015363454818725586,50.090979984403425
Simple RNN,Seen Stocks (Test),0.0024476521648466587,0.04947375228185809,0.035920459777116776,-0.029441118240356445,50.3603752628967
LSTM,Seen Stocks (Test),0.002403754275292158,0.049028096794513226,0.03569317236542702,-0.010978341102600098,51.140203700640406
GRU,Seen Stocks (Test),0.0024027680046856403,0.0490180375442106,0.03562154248356819,-0.01056361198425293,51.14256681711842
Zero Baseline,Unseen Stocks (Test),0.0025212347973138094,0.0502118989614395,0.034948933869600296,-0.006584763526916504,0.0636190129964555
Ridge Regression,Unseen Stocks (Test),0.002537053544074297,0.050369172556974734,0.03536805137991905,-0.012900233268737793,50.22266654548759
Simple RNN,Unseen Stocks (Test),0.0025434326380491257,0.05043245619686915,0.035629741847515106,-0.015447020530700684,50.104516949922754
LSTM,Unseen Stocks (Test),0.0025078027974814177,0.050077967185993257,0.03539764881134033,-0.0012221336364746094,52.14941379623739
GRU,Unseen Stocks (Test),0.0025042849592864513,0.05004283124770671,0.035306330770254135,0.0001823902130126953,52.140325365809325
